Exporters,Importers,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016
UK,Jamaica,75178,69110,71330,72345,71308
UK,Belarus,195005,145214,138389,100113,68780
UK,Papua New Guinea,71563,76538,25745,23361,67438
UK,Botswana,39396,1045473,42337,32173,66046
UK,Falkland Islands (Malvinas),97611,81432,116171,199684,63018
UK,Barbados,60363,66823,55907,54741,62449
UK,Zambia,141350,137911,106552,98694,61606
UK,Uganda,100636,76805,74691,74034,59566
UK,"Moldova, Republic of",64437,70007,65169,56365,57422
UK,Cameroon,90227,102773,76613,60753,56854
UK,"Macao, China",81127,102054,88201,70549,55249
UK,British Virgin Islands,25360,93369,33601,64226,54766
UK,Ecuador,463111,388000,182661,182024,53203
UK,Yemen,128602,158977,116799,42274,49274
UK,Turkmenistan,447351,229590,208805,42096,45254
UK,Guyana,44387,41222,42845,36495,44370
UK,Uzbekistan,69911,65956,41486,30376,43566
UK,Myanmar,20389,69183,33751,26156,42275
UK,Namibia,121388,86295,78479,58489,40903
UK,Paraguay,50590,55533,56429,41149,39368
UK,Sierra Leone,107299,113336,91386,53754,38869
UK,Guatemala,49275,48845,58200,52024,38359
UK,Zimbabwe,95483,81519,67443,59499,36437
UK,Cuba,41790,37681,31498,38621,34626
UK,Bahamas,60945,24875,34024,45349,32617
UK,Gabon,83676,93256,83978,53220,31662
UK,Bermuda,156893,108687,77604,35116,29600
UK,Netherlands Antilles,413386,43451,37737,51623,29578
UK,Bosnia and Herzegovina,35835,33254,37892,36865,29448
UK,Guinea,153598,251298,60441,31974,28940
UK,Benin,101844,109766,104101,90109,28398
UK,Seychelles,32605,30671,39511,26222,28256
UK,Equatorial Guinea,93863,75756,96267,48860,28245
UK,Mali,15523,15832,24421,36928,27868
UK,Gambia,59744,46110,33904,29121,27282
UK,"Congo, Democratic Republic of the",39399,52001,53584,40070,26160
UK,Saint Lucia,22932,22323,21134,22242,25855
UK,El Salvador,23319,22262,26939,26579,25849
UK,Aruba,112996,64990,65572,30481,24132
UK,Cambodia,17130,27813,18371,25274,23588
UK,"Bolivia, Plurinational State of",35101,36350,32765,36194,23427
UK,Albania,33673,30161,33405,23449,23393
UK,Saint Helena,22604,24225,20499,32140,22381
UK,Montenegro,20758,24558,18793,15369,22035
UK,Afghanistan,164811,103659,48816,27253,21342
UK,Montserrat,667,11062,7712,641,21159
UK,Antigua and Barbuda,13767,21425,23501,39282,21037
UK,Madagascar,19520,19015,13860,16424,19496
UK,Belize,18088,13480,12920,11171,18883
UK,Maldives,13196,13672,19227,26182,18471
UK,Malawi,30542,23975,23330,17444,18192
UK,Liberia,30315,26679,25580,17919,18158
UK,Mozambique,113052,70774,68496,48555,17977
UK,Haiti,18322,15199,14012,11293,16562
UK,Armenia,24561,30421,23490,22296,16308
UK,Suriname,21045,25736,18207,19615,16276
UK,New Caledonia,29497,18692,22420,27636,15438
UK,Honduras,16160,18475,18783,18590,14925
UK,Saint Vincent and the Grenadines,13905,21973,19231,16776,14527
UK,Nepal,13824,12688,12968,15641,13783
UK,Fiji,7249,12449,16063,13362,13124
UK,Faroe Islands,19981,17178,19543,14795,12881
UK,Mauritania,69280,87427,22368,26594,12797
UK,Djibouti,44653,10555,21725,18121,12364
UK,Burkina Faso,20119,20477,13470,10367,12192
UK,Dominica,8542,8713,8134,9085,11791
UK,Andorra,14394,13816,11402,13331,11342
UK,Somalia,12495,16801,13753,11699,11054
UK,Grenada,8367,8896,10042,9915,10828
UK,"Palestine, State of",8599,5638,1668,9071,10082
UK,French Polynesia,7002,8280,9081,10467,9982
UK,Rwanda,20726,15291,11092,11695,9825
UK,Nicaragua,8847,9529,8439,13750,9723
UK,United States Minor Outlying Islands,5552,3018,5907,5790,7729
UK,Lao People's Democratic Republic,5493,7074,5865,9758,7514
UK,Mongolia,17569,32458,20960,13845,7471
UK,Saint Kitts and Nevis,11907,6653,10304,16252,7371
UK,Syrian Arab Republic,41849,26376,19179,10369,6990
UK,Niger,2812,10329,11090,10664,5288
UK,Kyrgyzstan,19588,4734,8265,8343,5095
UK,Cabo Verde,5282,20751,37854,4454,5052
UK,Swaziland,3785,3847,4056,4096,4029
UK,Turks and Caicos Islands,2881,2799,3429,3605,3677
UK,Chad,11934,17447,13636,4186,3416
UK,Greenland,2891,9275,1646,1676,3137
UK,Burundi,5915,4135,5249,3142,2744
UK,Central African Republic,478,1032,2304,4527,2690
UK,Lesotho,1733,1765,818,716,2589
UK,Anguilla,796,2509,8439,1266,2564
UK,Eritrea,8338,11157,5227,2451,2453
UK,Tajikistan,3512,3718,2756,1654,2388
UK,Bhutan,968,2106,1677,1227,1761
UK,Northern Mariana Islands,118,57,449,194,1540
UK,Comoros,889,596,502,840,1353
UK,Guinea-Bissau,574,961,65848,615,1257
UK,Solomon Islands,762,7064,2498,1500,619
UK,Marshall Islands,564,1428,11420,2536,596
UK,Tonga,1232,226,292,1738,527
UK,Vanuatu,1083,532,913,1426,512
UK,Timor-Leste,386,311,291,384,466
UK,British Indian Ocean Territories,0,247,17,0,390
UK,Palau,101,70,136,302,333
UK,Cocos (Keeling) Islands,142,56,96,13,301
UK,Samoa,2024,276,134,253,233
UK,Pitcairn,370,550,17,28,198
UK,Sao Tome and Principe,482,595,748,127,195
UK,Nauru,129,207,194,214,186
UK,Cook Islands,14,732,25,124,129
UK,French South Antarctic Territories,802,732,631,1173,109
UK,"Korea, Democratic People's Republic of",529,872,460,396,74
UK,Tuvalu,0,0,0,116,61
UK,"Micronesia, Federated States of",142,50,27,111,46
UK,Wallis and Futuna Islands,33,14,301,15,35
UK,St. Pierre and Miquelon,484,62,12,78,33
UK,Western Sahara,0,2,3,9,25
UK,Kiribati,113,208,52,125,14
UK,Niue,68,2,26,116,12
UK,Christmas Islands,0,0,1021,82,0
UK,Norfolk Island,133,46,70,13,0
UK,Africa not elsewhere specified,1108,75017,50111,4026,0
UK,Area Nes,3579451,3999434,4553447,4744246,0
UK,Mayotte,327,1628,0,0,0
Germany,World,1482202300,1410129600,1450950900,1498157800,1328549100
Germany,USA,103075151,112268668,118864340,127770823,126565882
Germany,France,141249656,131638089,131789306,133561472,113949441
Germany,UK,91140070,91023529,94641874,105122552,98712709
Germany,Netherlands,96462820,90323744,94250927,96598330,87825910
Germany,China,90496736,86101711,89317191,99196126,79429909
Germany,Austria,80172182,72648753,74627229,74084117,64512479
Germany,Italy,86442126,71375367,70699019,72082834,64360574
Germany,Poland,60483275,53748740,56396044,63334289,57846445
Germany,Switzerland,67079438,64520790,63828753,63015310,55913747
Germany,Belgium,65282147,56285417,56346158,55773215,45351173
Germany,Spain,48515477,39910447,41635953,46254546,42936361
Germany,Czech Republic,42735507,40204163,41232960,44447250,40455667
Germany,Sweden,30627790,27107962,27489612,28506433,25553265
Germany,Turkey,28183655,25951070,29002370,25663750,24796825
Germany,Russian Federation,49276386,50180471,48739010,39843149,24650469
Germany,Hungary,21875559,20829986,23245306,26338809,24202011
Germany,"Korea, Republic of",16300625,17104436,19089754,20825077,19882772
Germany,Denmark,20485778,19118304,21017974,22289445,19505996
Germany,Japan,21399525,22236635,22872792,22778112,18939651
Germany,United Arab Emirates,10754193,12718842,13241727,15224294,16304759
Germany,Romania,12225617,11772700,12797374,14289524,13554000
Germany,Slovakia,14419975,13289683,14126258,14941616,13551344
Germany,Mexico,10589700,11445932,11947841,12098978,12329278
Germany,Canada,10303314,11585226,11867698,11624206,11111730
Germany,Saudi Arabia,9617047,10627853,12338596,11901281,11095337
Germany,Brazil,15630521,15165416,15148017,13955137,11062912
Germany,India,15211502,13445408,12219924,11884510,10870848
Germany,South Africa,12172386,11468822,11626070,11127438,10786673
Germany,Finland,11765930,10324530,10843285,11642323,9958848
Germany,Australia,11596681,12077789,11441547,10395172,9378864
Germany,Norway,11170706,11172978,11116548,11439689,9214238
Germany,Portugal,9778011,7908358,8450360,9419616,8353216
Germany,"Taipei, Chinese",8744451,7471007,7854970,9171159,8225200
Germany,Singapore,9034633,8455295,8481679,8423367,7407314
Germany,"Hong Kong, China",8247254,7674823,7529269,7870561,6584462
Germany,Ireland,6040403,5985022,7250868,6916897,6494762
Germany,Luxembourg,8654090,7145088,7244614,7067224,5861221
Germany,Malaysia,6071912,6395777,6392972,6403518,5339653
Germany,Greece,7065353,6087912,6278099,6446630,5175468
Germany,Slovenia,5500044,4947217,5439566,5445921,5049876
Germany,Israel,4887501,4780740,4764506,5437496,4568154
Germany,Thailand,4555690,5453899,5266481,5221191,4491663
Germany,Bulgaria,3297709,3453642,3513844,4359457,3827926
Germany,Egypt,3339240,3435961,3200855,3850643,3724523
Germany,Ukraine,7627740,7768652,7543637,5009168,3613552
Germany,Lithuania,3066026,3049577,3282038,3405803,3066317
Germany,Argentina,3753347,3511509,3769704,3266837,2968405
Germany,Indonesia,2968933,4140122,4163947,3936849,2958790
Germany,Croatia,3169331,2871168,2732696,2986067,2921368
Germany,Ship stores and bunkers,1073658,4820623,4847029,4671557,2882063
Germany,Algeria,2173321,2451272,2748292,3531480,2725450
Germany,Chile,3174934,3320942,3717602,2822812,2661221
Germany,Viet Nam,2631469,2541105,2463279,2632820,2562234
Germany,Qatar,1418791,1517039,1683992,2811554,2401314
Germany,Philippines,1743960,1995591,2317237,2707848,2390359
Germany,Serbia,2291824,2198271,2302698,2481594,2373329
Germany,"Iran, Islamic Republic of",4391284,3301792,2495220,3224256,2330671
Germany,Morocco,2158359,2099071,2146745,2282753,2135234
Germany,Colombia,1805745,2129177,1943565,2403407,2025109
Germany,Latvia,1815997,1837530,1881564,2010304,1796023
Germany,Estonia,2128687,2026187,2229454,2271810,1755654
Germany,Tunisia,2179996,1816914,1769081,1764659,1527965
Germany,Kuwait,1480652,1576212,1776937,1913250,1478459
Germany,Belarus,3049208,3019048,3105031,2441904,1441869
Germany,Kazakhstan,2510701,2669848,2949831,2356345,1417232
Germany,New Zealand,1227313,1297255,1445158,1437143,1202361
Germany,Nigeria,1804281,1645968,1791185,1852244,1164420
Germany,Pakistan,1072011,1123917,1111709,1076208,1134445
Germany,Iraq,1618649,1553411,1861180,1539723,1119099
Germany,Oman,1166343,1071417,1022609,928557,1045156
Germany,Peru,1095811,1229315,1283499,1221444,937083
Germany,"Macedonia, The Former Yugoslav Republic of",741845,663835,731804,907481,934655
Germany,Lebanon,1021528,1129911,1045171,1044859,926275
Germany,Bosnia and Herzegovina,1042891,980764,1006713,1055068,916486
Germany,Jordan,960728,1124696,939017,922136,913921
Germany,Azerbaijan,1182375,1040446,1128687,1066141,770366
Germany,Malta,449110,415363,476291,767494,739397
Germany,Bangladesh,615062,543159,607379,768695,709807
Germany,Marshall Islands,98017,192520,203326,756477,647951
Germany,Cyprus,1032927,859537,1148366,759194,615040
Germany,British Virgin Islands,265493,252205,59613,152666,600251
Germany,"Venezuela, Bolivarian Republic of",987345,1190592,990680,924984,578907
Germany,Uruguay,397422,524269,477735,559641,505933
Germany,Uzbekistan,683290,517256,572300,671068,478864
Germany,Ecuador,589729,622076,555252,553232,468141
Germany,Bahrain,674329,519668,477177,502308,464160
Germany,Bermuda,132981,5846,8962,6099,464012
Germany,Panama,438775,406839,568971,565965,462852
Germany,Iceland,420374,435308,421642,415891,443039
Germany,Kenya,351592,396369,404802,426560,417467
Germany,Georgia,481820,531453,454967,512971,412008
Germany,"Libya, State of",458604,909836,1305081,732239,399136
Germany,Angola,350777,516912,380844,501484,373420
Germany,Turkmenistan,434280,419263,519865,368790,339097
Germany,Ethiopia,172036,218677,242792,319880,338760
Germany,Liberia,441001,94411,115632,441987,337738
