Exporters,Importers,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016
Japan,Cambodia,234377,209861,255737,302214,306978
Japan,"Macao, China",262272,297414,314740,330437,300590
Japan,Mongolia,344834,300312,326440,251878,278166
Japan,Guatemala,246256,239038,220607,245240,277350
Japan,Dominican Republic,197429,169263,213742,238128,272172
Japan,Bermuda,3810,3398,3201,56729,267386
Japan,Slovakia,467414,361758,328529,264944,256572
Japan,Ecuador,655555,527609,537211,424392,250968
Japan,Cayman Islands,145067,41953,98344,107863,250257
Japan,"Tanzania, United Republic of",301401,286123,302373,274818,220889
Japan,United States Minor Outlying Islands,143678,109594,237895,246440,220237
Japan,Algeria,621470,592726,385130,247913,216335
Japan,Greece,145004,153700,163990,213841,213438
Japan,Jamaica,174506,143138,135525,164822,211978
Japan,Kazakhstan,543990,697484,662406,240411,193350
Japan,Cyprus,213097,302120,261551,266957,184670
Japan,Georgia,329269,368608,380412,135093,177069
Japan,"Bolivia, Plurinational State of",231966,226713,274046,220526,170856
Japan,Uganda,154939,165508,187547,163437,163087
Japan,Uzbekistan,97603,122924,168034,251285,161612
Japan,Papua New Guinea,469713,309639,179654,171567,160571
Japan,Trinidad and Tobago,190816,227702,206176,226029,156079
Japan,El Salvador,108952,121209,105563,98768,131489
Japan,Ghana,199473,123616,117318,105470,123813
Japan,Slovenia,78968,92162,90031,98814,119995
Japan,Mauritius,107188,110397,110737,102732,119109
Japan,Estonia,203934,289927,114078,95851,119082
Japan,Lao People's Democratic Republic,137728,121301,138582,104545,117117
Japan,Yemen,298560,364506,437705,113586,117042
Japan,Fiji,36411,45607,61614,61935,115298
Japan,"Venezuela, Bolivarian Republic of",867442,676907,324626,212491,104051
Japan,Ethiopia,130749,108592,110426,126300,103792
Japan,Azerbaijan,190500,95631,116420,73152,97957
Japan,Tunisia,112104,88269,92652,81146,87817
Japan,Nicaragua,114931,75218,89315,95210,86816
Japan,Bulgaria,56892,71123,79268,66009,83764
Japan,Brunei Darussalam,187646,152223,106773,120290,83146
Japan,Afghanistan,99740,62578,26872,25106,80250
Japan,Honduras,111444,68770,66606,72388,78216
Japan,Paraguay,69731,62664,66589,69794,77648
Japan,Iceland,34792,32151,39107,52782,67596
Japan,Sudan (Sudan and South Sudan),61438,62498,61170,73520,59005
Japan,Uruguay,103327,115819,84616,77593,56287
Japan,Senegal,47526,52652,36377,48407,54741
Japan,Lithuania,47319,64032,68225,52507,54356
Japan,Mozambique,136307,267572,190334,138690,51097
Japan,Latvia,61491,51788,49480,52772,50884
Japan,Côte d'Ivoire,48102,53505,53481,54535,50705
Japan,Zambia,146378,128471,109310,73284,48036
Japan,Nepal,46186,27285,34160,43833,45668
Japan,Cuba,22676,31340,39757,35882,45045
Japan,Togo,50292,45357,32242,33612,43027
Japan,Guyana,54512,44232,44753,45354,42087
Japan,"Congo, Democratic Republic of the",66027,49122,60748,59481,41470
Japan,Croatia,31575,31879,34854,34122,39323
Japan,Northern Mariana Islands,14572,12636,37561,47377,38604
Japan,Haiti,54388,43214,46572,41473,37885
Japan,Barbados,27082,27235,24353,25891,36835
Japan,Vanuatu,75603,145965,38530,59472,34081
Japan,Djibouti,43659,11838,35766,51355,34064
Japan,Suriname,82057,81718,70170,79011,33799
Japan,New Caledonia,35991,26758,80978,40135,32610
Japan,Angola,257923,287432,304676,82692,32092
Japan,Burkina Faso,18103,5254,3998,13639,30163
Japan,Palau,10341,25274,18279,15814,28882
Japan,Namibia,20329,34334,37476,25847,28019
Japan,Gabon,72357,44937,46655,36137,27259
Japan,Cameroon,28406,28050,33658,26038,27152
Japan,Netherlands Antilles,30421,21245,20254,23049,24980
Japan,Botswana,38875,28242,31394,32284,24746
Japan,Belarus,38652,43147,81590,15427,23731
Japan,Syrian Arab Republic,113205,7465,10192,9222,22743
Japan,Solomon Islands,20576,17811,13779,13753,21321
Japan,"Libya, State of",115825,342281,180791,60884,20860
Japan,Armenia,21032,10828,11030,9019,19379
Japan,French Polynesia,16437,17096,14154,13380,19083
Japan,Malawi,40331,44796,32336,30345,18777
Japan,Seychelles,4550,4462,6024,10571,18465
Japan,Kiribati,42353,32610,24750,30820,18340
Japan,Antigua and Barbuda,5952,9198,10380,12914,17464
Japan,Maldives,10242,12378,13511,17732,17198
Japan,Zimbabwe,28420,42542,37727,28045,16817
Japan,Serbia,33423,13501,26555,16153,15988
Japan,Tuvalu,16090,32854,13943,18512,15745
Japan,Samoa,15227,15340,13163,14686,14972
Japan,Sierra Leone,21173,10947,12862,11022,14190
Japan,Congo,20689,19802,16224,10673,13156
Japan,Saint Lucia,8299,6116,6576,9976,12546
Japan,Madagascar,10271,13085,16853,14794,12523
Japan,"Micronesia, Federated States of",22475,10234,8611,21152,12370
Japan,Mauritania,40419,45768,26031,10415,11552
Japan,Swaziland,5917,5830,7439,9739,11011
Japan,Belize,7465,5122,3259,5015,10898
Japan,Bhutan,7518,6309,17428,15437,10774
Japan,Benin,15228,10906,15847,9193,10645
Japan,Saint Kitts and Nevis,3641,4592,7913,10678,10323
Japan,"Macedonia, The Former Yugoslav Republic of",5187,4276,8891,8648,10168
Japan,British Virgin Islands,2485,3154,5741,7563,9860
Japan,Grenada,2781,2888,4387,8060,9757
Japan,Kyrgyzstan,72121,100992,126352,22773,8498
Japan,Chad,2732,3008,2374,8791,8419
Japan,Mali,6643,7888,6533,5835,8016
Japan,Niger,9541,5304,3085,19628,7479
Japan,Guinea,34096,28199,30793,11303,7462
Japan,Turks and Caicos Islands,1422,2569,4001,5130,6645
Japan,Saint Vincent and the Grenadines,2215,2462,2863,4810,6544
Japan,Rwanda,20382,20387,14905,11132,6270
Japan,Lesotho,6207,10940,7673,5347,5780
Japan,Dominica,5462,3818,3377,4786,5598
Japan,Cook Islands,1519,1522,1452,2918,5561
Japan,Albania,1569,1771,4753,1266,5518
Japan,Tonga,4580,4711,11151,5176,5235
Japan,Cabo Verde,9021,2836,2490,4132,5148
Japan,Timor-Leste,9213,4842,9371,4926,5148
Japan,Burundi,8801,4717,6533,5051,5141
Japan,Montenegro,4944,4173,8757,5194,4916
Japan,"Moldova, Republic of",2462,8919,24742,13379,4162
Japan,Bosnia and Herzegovina,1736,6363,2359,7614,4133
Japan,Tajikistan,7467,1343,14160,5329,3648
Japan,Somalia,153,957,3273,5397,3603
Japan,Anguilla,963,1015,1775,2920,3053
Japan,Central African Republic,1625,804,839,5936,2843
Japan,"Palestine, State of",6535,970,1743,1542,2830
Japan,Nauru,498,1187,1371,135,2061
Japan,Guinea-Bissau,179,157,2603,202,1813
Japan,Gambia,12787,1025,3271,968,1607
Japan,Equatorial Guinea,5584,9393,9099,9221,1313
Japan,Comoros,1639,2521,3247,2180,1273
Japan,Sao Tome and Principe,2145,1304,1344,1321,1246
Japan,Eritrea,1244,694,603,851,1168
Japan,Montserrat,293,406,538,538,797
Japan,Andorra,547,365,221,255,248
Japan,Falkland Islands (Malvinas),26,10,78,79,89
Japan,Western Sahara,0,82,53,349,84
Japan,Greenland,153,3,7,13,78
Japan,Saint Helena,8,0,22,20,52
Japan,British Indian Ocean Territories,0,0,0,0,5
Japan,French South Antarctic Territories,0,0,7,6,0
Japan,Gibraltar,69236,70429,75393,78104,0
Japan,Oceania Nes,649,511,553,579,0
Japan,Niue,69,958,5584,7212,0
Japan,Africa not elsewhere specified,5664,1192,1055,1101,0
Japan,Pitcairn,0,40,0,0,0
Japan,America not elsewhere specified,20471,19636,28993,19694,0
Japan,Tokelau,3,3,397,2,0
Japan,Area Nes,0,0,0,0,0
China,World,1898388400,2048782200,2209007300,2342343000,2281855922
China,USA,325010988,352438221,369063859,397104906,410804880
China,"Hong Kong, China",267983737,323445330,384497867,363087890,334290810
China,Japan,148268708,151626581,150132589,149410452,135896918
China,"Korea, Republic of",82920308,87673764,91164951,100334575,101474642
China,Germany,76399999,69212732,67342500,72703322,69216821
China,Viet Nam,29091568,34212587,48586298,63731485,66381154
China,UK,44122055,46296693,50942128,57140811,59667967
China,Netherlands,59499691,58898785,60314752,64928500,59630243
China,India,50536416,47677452,48432411,54220379,58262004
China,Singapore,35570137,40750209,45831865,48911898,53139141
China,"Taipei, Chinese",35109073,36777357,40634145,46277267,45055573
China,Malaysia,27886048,36525700,45930593,46355435,44192327
China,Australia,33910013,37734920,37554163,39147667,40378582
China,Thailand,25694604,31196768,32717904,34293357,38310626
China,United Arab Emirates,26812848,29568343,33411295,39034356,37069274
China,Russian Federation,38903018,44056551,49591172,53675377,34809906
China,Indonesia,29220944,34285244,36930490,39060020,34375284
China,Mexico,23975906,27517963,28966300,32254872,33809860
China,Canada,25266590,28125194,29216715,30004306,29426458
China,Italy,33694562,25657525,25754655,28760108,27852875
China,Brazil,31836677,33413633,35895471,34877621,27428609
China,France,30245913,27195963,26948466,28978553,27063408
China,Philippines,14255388,16732210,19868125,23474238,26692700
China,Spain,19723609,18240174,18931672,21501415,21899151
China,Saudi Arabia,14849707,18452901,18739814,20575714,21683665
China,Turkey,15613705,15585293,17746991,19305856,18630120
China,"Iran, Islamic Republic of",14761999,11598799,14036645,24340266,17831207
China,Pakistan,8439729,9276492,11019596,13246448,16481153
China,Belgium,18973831,16376700,15560178,17216750,16222593
China,South Africa,13362300,15323312,16830776,15699882,15878945
China,Poland,10939549,12386657,12574875,14256905,14346519
China,Bangladesh,7810658,7970093,9705087,11783095,13904754
China,Nigeria,9205574,9296313,12042613,15393564,13715724
China,Chile,10816758,12600992,13105469,13018753,13296051
China,Egypt,7283233,8223921,8362675,10460509,11962663
China,Myanmar,4821497,5673756,7338689,9367605,9429575
China,Argentina,8502556,7869366,8750430,7679790,8890252
China,Israel,6740798,6988137,7645304,7739118,8624495
China,Panama,14555810,15305692,10992734,9306962,8529293
China,Kazakhstan,9566530,11001238,12545124,12712077,8427397
China,Czech Republic,7669407,6323551,6837795,7993049,8227215
China,Iraq,3824651,4911785,6894088,7743472,7925456
China,Algeria,4471882,5416657,6023897,7395238,7600452
China,Colombia,5838843,6228774,6826037,8043192,7588037
China,Sweden,6566883,6416053,6799061,7167638,7109201
China,Peru,4653277,5332544,6188838,6100803,6354911
China,Denmark,6446596,6540747,5711397,6545902,6155176
China,Kenya,2368775,2788762,3217481,4930569,5918049
China,"Venezuela, Bolivarian Republic of",6521892,9304091,6064501,5657421,5314949
China,Ghana,3109948,4790753,3946028,4134193,5312801
China,Hungary,6806022,5737960,5692280,5764317,5198115
China,New Zealand,3736693,3864558,4131684,4737921,4922088
China,"Macao, China",2355273,2708244,3170786,3592857,4615021
China,Sri Lanka,2988724,3001305,3436549,3792846,4308107
China,"Tanzania, United Republic of",1653632,2089722,3140702,3843566,4286317
China,Kyrgyzstan,4878289,5073516,5075346,5242698,4284720
China,Kuwait,2128415,2089319,2675509,3428724,3775940
China,Cambodia,2314810,2708103,3409507,3275454,3770011
China,Angola,2784153,4039171,3964059,5975307,3723163
China,Greece,3949368,3593168,3218976,4185659,3664447
China,Finland,6640366,7440753,5831524,5098956,3552095
China,Ukraine,7147075,7324649,7849225,5106240,3516420
China,Ethiopia,885361,1529870,1868466,2922309,3445410
China,Jordan,2512724,2958958,3434555,3364759,3431339
China,Marshall Islands,2190067,1823395,1422971,1237975,3374161
China,Switzerland,3713552,3507411,3529136,3109893,3196153
China,Romania,3453775,2797186,2822537,3223178,3186742
China,Benin,2874685,2413662,2992477,3485979,2993190
China,"Korea, Democratic People's Republic of",3164704,3532383,3630075,3520408,2947443
China,Morocco,3042649,3131193,3271645,2963006,2901954
China,Portugal,2801434,2501158,2506864,3136966,2897547
China,Ecuador,2224132,2613996,2966846,3245113,2893705
China,Norway,3785872,3019832,2737115,2731442,2858078
China,Ireland,2166075,2098343,2477167,2801680,2825002
China,Slovakia,2512600,2423050,3084437,2828642,2795050
China,Sudan (Sudan and South Sudan),1994640,2212926,2473519,1994688,2554878
China,Austria,2226819,2040342,2037527,2397056,2497854
China,Malta,2329586,2245419,2514566,3192859,2376905
China,Luxembourg,1595051,1956195,1807834,1948750,2325442
China,Lebanon,1458393,1691955,2490831,2605126,2291021
China,Qatar,1198757,1205100,1710908,2254009,2279509
China,Uzbekistan,1359242,1783339,2613355,2678262,2236357
China,Senegal,680361,793973,997396,1650137,2194515
China,Togo,1831410,3383142,2443222,2491912,2181978
China,Oman,998177,1811576,1900844,2065380,2117933
China,Slovenia,1675371,1566641,1832812,1991941,2092396
China,Guatemala,1253975,1283708,1475308,1866932,2056521
China,Djibouti,508853,902580,1018884,1112236,1985868
China,Uruguay,2001564,2413269,2323634,2458446,1959159
China,Mozambique,700247,940887,1199293,1968740,1941302
China,"Libya, State of",720379,2384239,2834679,2157639,1895780
China,Cuba,1043647,1173554,1374786,1062465,1884178
China,Cameroon,874109,1064318,1514679,1877425,1838133
China,Tajikistan,1996778,1747870,1869364,2468232,1796604
China,Bahamas,550137,592077,336710,742873,1586188
China,Mongolia,2731758,2653509,2449592,2216400,1571983
China,Dominican Republic,967391,1029937,1045515,1273626,1559823
China,Côte d'Ivoire,540633,803668,955795,1220079,1557673
China,Yemen,1104281,1955099,2138817,2201314,1436297
China,Brunei Darussalam,744394,1252438,1703776,1746814,1411657
China,"Congo, Democratic Republic of the",826685,837486,948752,1362040,1410389
China,Liberia,4966687,3446408,2335750,1711267,1357650
China,Costa Rica,884537,901756,926977,1109538,1331293
China,Guinea,630170,753851,907476,1101459,1280205
China,Paraguay,1248051,1335795,1356500,1396210,1273283
China,Tunisia,1112727,1391786,1263159,1235774,1240208
China,Lao People's Democratic Republic,476255,937094,1722577,1838932,1212287
China,Lithuania,1335101,1630885,1686178,1658221,1210964
China,Bulgaria,1005616,1054597,1116984,1178539,1044137
China,Congo,489431,520991,779293,984526,1039199
China,Syrian Arab Republic,2420241,1190229,690152,984371,1024351
China,Latvia,1192947,1312709,1374267,1316817,1023450
China,Bahrain,880012,1202782,1238929,1231781,1014519
China,Papua New Guinea,453024,640097,553070,636457,989775
China,Croatia,1540930,1299886,1389943,1027302,985971
China,Estonia,1130855,1233666,1109820,1146094,954352
China,Madagascar,503376,542414,642961,752678,869659
China,Honduras,421889,1056653,799037,686539,858663
China,Mauritius,496927,620171,648701,745215,842064
China,Nepal,1181226,1968162,2210887,2283571,830006
China,Turkmenistan,784360,1699117,1137644,954282,817095
China,Mauritania,386275,455402,598451,756947,803838
China,Georgia,761069,740330,862092,908530,768511
China,Belarus,705135,919817,872160,1110594,747246
China,El Salvador,449992,490528,521956,601893,741316
China,Nicaragua,422029,466856,522915,568134,668771
China,Gabon,269915,427374,432706,430320,667086
China,Jamaica,370913,786097,627059,523044,630291
China,Cyprus,1123405,1093322,971730,1037576,589286
China,"Bolivia, Plurinational State of",384540,353077,531469,705941,570293
China,Uganda,359382,495143,452213,486646,555168
China,Zambia,617335,697306,729692,725666,553244
China,Zimbabwe,410278,430484,413826,403801,546347
China,Namibia,282265,438911,481941,545725,497688
China,Trinidad and Tobago,286550,312169,321390,427977,481805
China,Azerbaijan,892619,1069827,868568,645253,439872
China,Haiti,303639,283708,323494,391379,436884
China,Albania,281483,343905,324596,378270,430471
China,British Virgin Islands,155440,153822,11068,114974,427602
China,Serbia,396353,412876,431912,424560,416209
China,Bermuda,355016,207757,190035,188728,367637
China,Afghanistan,230010,464034,328259,393560,364319
China,Gambia,290968,257513,308521,350699,332790
China,Fiji,171186,214023,244498,287254,330566
China,Somalia,91209,101107,133761,206079,300015
China,Sierra Leone,224834,249188,152567,163052,278649
China,Mali,297735,290232,274639,297069,272108
China,Equatorial Guinea,266317,361434,357517,352515,263693
China,Malawi,112097,249067,213793,157117,248233
China,Botswana,616162,182121,148252,176149,226461
China,Suriname,136184,189140,174032,176865,202207
China,Gibraltar,28752,114585,41581,8280,197708
China,Niger,142167,158352,183941,243696,175158
China,Maldives,97122,76488,97414,103990,172590
China,Guyana,132625,199506,160138,167286,160996
China,Eritrea,148156,53532,137957,88144,135395
China,Montenegro,89982,145761,86383,157066,134142
China,Burkina Faso,55619,72506,103387,117972,125406
China,Chad,94803,172778,371893,317710,125250
China,Iceland,76581,95388,146642,143759,125013
China,Rwanda,66652,90106,134109,115212,124274
China,Netherlands Antilles,119644,142738,80894,85913,118230
China,Armenia,135723,113204,119850,122809,113611
China,New Caledonia,135163,96653,90341,90754,106188
China,Timor-Leste,70433,62474,47386,60342,105954
China,French Polynesia,41839,47823,49490,52656,103576
China,"Moldova, Republic of",97491,123942,112629,115289,99966
China,"Macedonia, The Former Yugoslav Republic of",91811,88750,63476,76664,86492
China,Lesotho,73109,94371,89829,88760,84015
China,Solomon Islands,30676,36681,36802,49442,82257
China,Belize,49491,52512,122365,95861,80078
China,Vanuatu,133860,133612,380483,180236,72398
China,"Palestine, State of",47815,40725,90677,75507,70770
China,Area Nes,1323,0,0,0,65423
China,Barbados,143863,96112,70210,71455,65337
China,Samoa,37816,71746,54473,55867,64573
China,Cayman Islands,29545,113579,11189,8461,62548
China,Bosnia and Herzegovina,41435,46712,91328,283984,61502
China,Seychelles,35010,33167,38670,45582,59174
China,Antigua and Barbuda,656772,746977,245482,172363,54021
China,Aruba,17689,16244,21325,53572,51743
China,Comoros,8186,14943,29860,40685,47276
China,Cabo Verde,49752,57490,61996,51223,44927
China,Kiribati,13076,33983,18657,20620,44733
China,Burundi,42544,46460,50962,51602,43347
China,Saint Vincent and the Grenadines,77939,29060,25232,37294,39538
China,Dominica,26490,25299,22969,37005,34065
China,Swaziland,30686,28920,24762,26528,31262
China,Tonga,13277,20160,38480,23943,30464
China,Palau,1194,1640,3186,10456,22034
China,Saint Lucia,10152,28785,19879,29902,21282
China,Guinea-Bissau,14851,15895,11890,17153,19451
China,Cook Islands,4966,4034,19480,19420,15819
China,Tuvalu,14939,143449,7534,4645,15337
China,Central African Republic,14271,17684,9459,7212,15214
China,"Micronesia, Federated States of",3413,4079,4938,9341,14503
China,Saint Kitts and Nevis,4385,2705,15592,26663,13425
China,Grenada,5912,19869,7572,14865,12546
China,Bhutan,17382,15604,17405,11115,9949
China,Sao Tome and Principe,1792,3008,4862,5728,7871
China,Oceania Nes,2092,2039,2517,5199,6083
China,Nauru,185,972,1075,2752,4883
China,Africa not elsewhere specified,5356,10242,8614,10775,4637
China,Turks and Caicos Islands,400,296,378,1086,3791
China,Montserrat,18,9,151,416,3561
China,St. Pierre and Miquelon,2,4,19,228,2728
China,America not elsewhere specified,51,303,1884,992,2637
China,Greenland,535,447,163,778,2614
China,Western Sahara,2,288,10,309,2597
China,Norfolk Island,358,0,0,0,2045
China,Andorra,5619,26846,2244,2204,1835
China,Wallis and Futuna Islands,563,201,714,1224,1512
China,Faroe Islands,406,1280,1445,1879,0
China,LAIA not elsewhere specified,494,775,525,388,0
China,Mayotte,11210,23396,77715,0,0
USA,World,1544932000,1577587300,1619742900,1503870400,1453720687
USA,Canada,292567767,300685611,312371471,279990084,265960649
USA,Mexico,215875039,226070227,240247090,236377320,230959100
USA,China,110516536,121721076,123675623,116186202,115775122
USA,Japan,69971995,65213790,66825973,62470435,63264257
USA,UK,54853629,47339021,53808147,56341696,55396087
USA,Germany,48372035,46862995,49028160,49617249,49361988
USA,"Korea, Republic of",42282529,41686042,44470809,43497950,42266344
USA,Netherlands,40617368,42505242,43067033,40694723,40377063
USA,"Hong Kong, China",37437333,42321051,40822125,37133932,34907968
USA,France,31925500,33864704,32449632,31454468,32438835
USA,Belgium,29434612,31920917,34771811,34103941,32270990
USA,Brazil,43771024,44092977,42427834,31665655,30297083
USA,Singapore,30499151,30621735,30204822,28618741,26868458
USA,"Taipei, Chinese",24336124,25470045,26670065,25928635,26045058
USA,Switzerland,26363312,26493077,22133642,22221402,22725831
USA,United Arab Emirates,22552553,24446087,22061768,22970393,22381773
USA,Australia,31145607,26110918,26494856,25023900,22224933
USA,India,22105715,21811337,21607499,21529612,21688959
USA,Saudi Arabia,17961238,18960148,18704865,19690157,18022555
USA,Italy,16102399,16757922,16973822,16253470,16759048
USA,Israel,14273473,13742185,15081785,13561484,13197078
USA,Colombia,16356797,18369302,20106598,16503126,13099480
USA,Chile,18773079,17517675,16512735,15586252,12940925
USA,Malaysia,12814764,13003614,13067717,12292013,11866918
USA,Thailand,10887757,11797150,11809675,11246493,10572771
USA,Spain,9551879,10243776,10200239,10248637,10373152
USA,Viet Nam,4622883,5036143,5734357,7071699,10151316
USA,Ireland,7391887,6631969,7805934,8944938,9555695
USA,Turkey,12474727,12073352,11645441,9556327,9379167
USA,Argentina,10258027,10348310,10825715,9335732,8569461
USA,Philippines,8087356,8403503,8453324,7908848,8263167
USA,Peru,9348621,10119124,10053610,8811445,8029207
USA,Dominican Republic,6967115,7155518,7922141,7134174,7785821
USA,Panama,9822506,10557240,10462658,7831067,6144082
USA,Indonesia,7997976,9096785,8284067,7122875,6037492
USA,Guatemala,5748945,5552497,5963671,5863776,5899872
USA,Costa Rica,7236638,7223400,6964076,6149869,5897426
USA,Russian Federation,10695291,11144526,10752773,7086656,5797526
USA,"Venezuela, Bolivarian Republic of",17516968,13201209,11137707,8317198,5255046
USA,Qatar,3577715,4958347,5173424,4231836,4928707
USA,Honduras,5714670,5373025,5960551,5238380,4845745
USA,South Africa,7552736,7293060,6368196,5459097,4685294
USA,Ecuador,6690073,7648703,8129379,5871589,4152818
USA,Norway,3501180,4618055,4423773,3595297,3925755
USA,Sweden,5247918,4318268,4337879,3931766,3817257
USA,Austria,3365118,3477687,3793502,3991353,3796834
USA,Poland,3346207,3778086,3650163,3700978,3661005
USA,New Zealand,3125315,3220332,4255675,3631254,3585369
USA,Egypt,5498320,5175346,6472585,4748303,3506520
USA,Kuwait,2681907,2597569,3648587,2750627,3296077
USA,El Salvador,3070529,3262029,3295875,3246739,2962547
USA,Trinidad and Tobago,2477826,2404157,2411034,2511614,2344125
USA,Denmark,2224433,2231000,2360681,2224031,2238726
USA,Algeria,1363163,1848704,2616993,1876462,2237080
USA,Bahamas,3479067,3450323,3324418,2388832,2179790
USA,Pakistan,1530065,1645795,1512132,1837839,2101095
USA,Paraguay,1740963,1932852,2115641,1503480,1979905
USA,Czech Republic,1832280,1943336,2302337,1975988,1934072
USA,Nigeria,5029335,6388833,5967789,3410334,1875382
USA,Morocco,2170397,2483741,2102226,1608416,1865988
USA,Hungary,1566157,1726911,1842762,1714322,1842745
USA,Oman,1746917,1571254,2015912,2364235,1783921
USA,Gibraltar,5109058,3576385,2530894,2005485,1771705
USA,Jamaica,1989289,1979637,2181990,1705906,1651484
USA,Netherlands Antilles,1394305,1520810,1393791,1234440,1587534
USA,Finland,2566156,2349033,2150014,1572378,1576795
USA,Jordan,1766366,2084046,2050389,1367917,1494818
USA,Nicaragua,1128213,1059654,1008621,1256506,1474669
USA,Luxembourg,1903125,1848773,1516207,1402765,1448481
USA,Angola,1490579,1443439,2039125,1163508,1275761
USA,Iraq,2053842,2021734,2105746,1969643,1268733
USA,Uruguay,1359233,1754688,1605794,1301885,1137971
USA,Lebanon,1039943,1034282,1268529,1256339,1134634
USA,Kazakhstan,883647,1150149,1008954,508715,1111087
USA,Haiti,1050230,1226730,1276652,1143955,1102512
USA,Ukraine,1935417,1924759,1239813,859581,1078491
USA,Portugal,1097096,844359,1135635,939752,948185
USA,Afghanistan,1521555,1409639,792389,499749,913463
USA,Bahrain,1176914,1017912,1059758,1274053,902089
USA,Bangladesh,508181,708816,1113364,948084,895371
USA,Ghana,1322495,982393,1186244,887249,830492
USA,Ethiopia,1274672,688508,1668976,1554718,827291
USA,Aruba,710159,1099961,1357737,1154617,777448
USA,Cayman Islands,667000,679737,812722,683224,755900
USA,Greece,804137,739039,773187,729534,720436
USA,Romania,832745,746523,977462,754360,714070
USA,"Bolivia, Plurinational State of",763010,1050758,1009968,910010,656747
USA,Bermuda,622417,537364,646392,600861,638840
USA,"Macao, China",345461,351203,433271,542278,631826
USA,Brunei Darussalam,157596,558209,549157,133359,614917
USA,Tunisia,614866,870178,831402,559747,524237
USA,Barbados,458568,452156,539917,591573,482509
USA,Iceland,370820,513397,364461,388610,467290
USA,Lithuania,756984,854290,681146,528099,463522
USA,Guyana,359571,318388,369961,367398,445060
USA,Azerbaijan,492623,380994,950265,469842,434218
USA,Saint Lucia,376958,594312,693802,495512,402765
USA,Kenya,568584,635689,1640899,936761,393867
USA,Sri Lanka,223950,311912,350340,372124,368883
USA,Cambodia,226405,241226,327933,392368,361638
USA,Marshall Islands,142133,65478,94724,81016,336483
USA,Slovenia,307878,269534,301219,367378,335207
USA,British Virgin Islands,171759,312739,386662,259496,332972
USA,Georgia,541253,601253,627537,341879,324771
USA,Uzbekistan,284611,356435,212944,138007,317981
USA,Suriname,499267,449805,518648,444143,302864
USA,Turks and Caicos Islands,209630,225790,281895,279586,296594
USA,Slovakia,335549,294778,443994,380661,293195
USA,Côte d'Ivoire,188088,167577,239079,264025,286133
USA,Croatia,310054,308962,339592,331933,285668
USA,Equatorial Guinea,233162,756140,574795,158536,278427
USA,Bulgaria,248545,307323,358777,289474,269079
USA,Belize,265606,241173,236703,284504,267195
USA,Antigua and Barbuda,204628,145155,216605,670372,262000
USA,Latvia,506219,494565,428178,294811,257598
USA,Estonia,235986,292850,294950,264295,256969
USA,Malta,390983,563594,917587,471495,250546
USA,Cuba,464458,359610,299064,180334,247232
USA,Togo,370550,1007524,1024664,234019,243365
USA,Benin,572965,605364,780952,632078,232267
USA,Namibia,184615,235244,342742,127933,212927
USA,Belarus,102025,95142,93386,59258,195019
USA,Myanmar,65766,145831,92856,227310,193523
USA,Cameroon,253043,335737,301070,220875,189861
USA,"Libya, State of",549022,864518,531856,218001,188877
USA,Cyprus,166681,143224,151660,101175,185236
USA,Senegal,149119,229208,172583,196879,181980
USA,Liberia,241089,173207,184437,135855,176480
USA,"Iran, Islamic Republic of",251123,308142,186550,282173,172141
USA,Yemen,469466,518252,368878,158790,170677
USA,Serbia,148490,156518,151453,145850,163526
USA,"Tanzania, United Republic of",245390,411953,302170,171119,159596
USA,Mozambique,351609,303016,375164,264561,146948
USA,Saint Kitts and Nevis,106150,142959,184580,149772,145297
USA,Djibouti,118842,164483,110875,152732,144984
USA,Congo,237201,222398,321467,248521,130947
USA,Papua New Guinea,391382,166734,143241,207499,126812
USA,Mauritania,291594,245485,149239,126970,116311
USA,Turkmenistan,92020,261779,455525,80585,106368
USA,French Polynesia,129855,126287,129534,120112,100473
USA,Saint Vincent and the Grenadines,98708,93190,103565,84823,94957
USA,Mauritius,95987,42055,35219,58465,86964
USA,Grenada,72113,95265,83966,90101,86796
USA,Gabon,319048,307984,417347,203934,84767
USA,Guinea,154622,79463,65186,134525,84419
USA,"Congo, Democratic Republic of the",199549,169806,181849,136375,83344
USA,Zambia,146789,141149,114122,84169,81182
USA,Rwanda,30490,25191,21219,14303,74623
USA,Mali,59745,49893,38462,72231,73100
USA,Uganda,100125,122740,78262,89583,69013
USA,Sudan (Sudan and South Sudan),88032,101685,123793,79346,68576
USA,Niger,37367,46091,58516,71602,66301
USA,New Caledonia,75096,72874,121189,88555,65853
USA,Sierra Leone,100736,82411,87913,77908,63187
USA,Mongolia,664955,279573,167466,69356,55607
USA,Fiji,55608,66936,79515,57422,55006
USA,Dominica,78934,77688,64186,67269,51104
USA,Albania,54082,74365,51280,30824,50435
USA,"Macedonia, The Former Yugoslav Republic of",21118,54778,33850,30941,45784
USA,Anguilla,27409,31038,63173,47573,43970
USA,Armenia,64299,91221,60471,50241,43672
USA,"Micronesia, Federated States of",51492,41588,41523,40073,42963
USA,Botswana,47984,82091,52866,39042,42308
USA,Madagascar,64275,64008,46800,54559,42233
USA,Malawi,63951,54499,50670,36006,42152
USA,Nepal,37014,32514,36272,36479,40564
USA,Gambia,27459,34135,41539,37838,40170
USA,Somalia,16735,15959,35654,45799,36872
USA,Burkina Faso,47277,77599,72304,54436,35349
